"route_id","lon","lat","split","wc2.1_10m_bio_2","wc2.1_10m_bio_3","wc2.1_10m_bio_5","wc2.1_10m_bio_8","wc2.1_10m_bio_9","wc2.1_10m_bio_13","wc2.1_10m_bio_15","wc2.1_10m_bio_18","y"
"6340561",-112.01798,54.91816,"evaluation_excluded",11.5209379196167,25.1306037902832,22.5052509307861,15.1277503967285,-12.2406663894653,95,64.2415466308594,242,0
"6340562",-110.56255,49.10149,"training",13.8125,31.4843521118164,27.5557498931885,15.7879161834717,-1.08125007152557,58,48.5277099609375,125,0
"6341051",-87.6041417,34.868688,"training",12.9697914123535,38.1672134399414,31.9584999084473,15.0297079086304,20.8232917785645,159,17.7410907745361,313,0
"6341052",-87.0592352,34.0297881,"training",13.2587289810181,39.8641891479492,32.1464996337891,7.48179149627686,21.2354583740234,167,18.6540355682373,319,0
"6341053",-86.2030371,34.8680404,"training",12.4132080078125,38.0490226745605,30.5132503509521,6.1046667098999,19.8664169311523,169,17.236364364624,322,0
"6341055",-85.9258408,33.1913463,"training",13.2062501907349,41.3917655944824,31.4925003051758,8.18745803833008,21.0671672821045,176,19.8466472625732,343,0
"6341056",-85.7511714,33.6076572,"training",12.7731246948242,40.0101013183594,31.632999420166,8.19016647338867,21.2370414733887,168,19.8273429870605,321,0
"6341057",-86.1153789,33.8116977,"training",13.0804586410522,39.9238739013672,32.232250213623,8.12179183959961,21.507833480835,164,20.069751739502,313,0
"6341058",-86.6010915,33.4549551,"training",13.2268333435059,40.8412055969238,32.2392501831055,8.51920890808105,21.6021671295166,169,18.9917850494385,333,0
"6341059",-87.5888357,33.8481773,"training",13.4262504577637,40.0457801818848,32.3267517089844,7.5373330116272,21.3214588165283,169,19.3638744354248,329,0
"6341061",-88.1712189,33.4765537,"training",13.0096254348755,39.4037017822266,32.7332496643066,12.1680421829224,22.0524997711182,159,19.6271934509277,315,0
"6341062",-88.3172665,32.1307226,"training",13.8638334274292,43.1407928466797,33.2765007019043,10.2795419692993,22.8087501525879,173,21.0657138824463,350,0
"6341063",-87.8359539,32.2782397,"training",13.6612091064453,42.4185371398926,33.3607521057129,10.2589588165283,22.9255409240723,170,21.5926399230957,336,0
"6341064",-87.2158334,32.442715,"training",13.1333751678467,41.373104095459,33.194751739502,10.1934585571289,23.0086669921875,165,22.2684173583984,320,0
"6341065",-87.5153953,32.7846996,"training",13.0482292175293,40.3823051452637,32.9887504577637,9.48258304595947,22.5443344116211,162,19.118143081665,327,0
"6341067",-86.2754989,32.1312407,"evaluation_excluded",12.7500419616699,41.5964546203613,32.9365005493164,10.786958694458,23.1319179534912,172,21.4836292266846,342,0
"6341068",-86.7017714,32.6594297,"training",12.6518125534058,40.5568580627441,32.6867485046387,9.89591693878174,22.6258335113525,166,20.7565059661865,328,0
"6341069",-86.1307777,32.5890245,"evaluation_excluded",12.8075618743896,41.0673217773438,32.8084983825684,10.1198749542236,22.8123340606689,170,22.2219753265381,343,0
"6341070",-85.5530853,32.3116131,"evaluation_excluded",12.8772087097168,41.8675727844238,32.6969985961914,10.4015417098999,22.8956680297852,166,21.2979183197021,345,0
"6341071",-85.2044589,32.8854647,"training",13.2835836410522,41.7384757995605,32.3777503967285,9.12658309936523,22.0252513885498,156,21.7735252380371,332,0
"6341072",-85.0626449,32.1473077,"evaluation_excluded",13.2426872253418,42.7379951477051,33.0487480163574,10.6049585342407,18.7889995574951,146,22.0240631103516,338,0
"6341074",-86.250378,31.5859083,"evaluation_excluded",12.9652919769287,42.7572822570801,32.7880020141602,11.0094995498657,18.8385829925537,166,19.4806575775146,374,0
"6341075",-86.6131969,31.4439507,"evaluation_excluded",13.5907497406006,44.4134902954102,32.9884986877441,11.0984163284302,18.8709583282471,172,19.8673763275146,414,0
"6344007",-86.8858316,30.9977072,"evaluation_excluded",12.7500629425049,43.514087677002,32.7029991149902,26.4224586486816,14.8783340454102,183,20.6269435882568,501,0
